source_url,target_url,status_code,preserve_query_string
https://impactable.com/ga4-linkedin-ads-tracking-guide-2024,https://impactable.com/blog/ga4-linkedin-ads-tracking-guide-2024/,301,TRUE
https://impactable.com/ga4-linkedin-ads-tracking-guide-2024/,https://impactable.com/blog/ga4-linkedin-ads-tracking-guide-2024/,301,TRUE
https://impactable.com/effective-linkedin-ads-limited-budget,https://impactable.com/blog/effective-linkedin-ads-limited-budget/,301,TRUE
https://impactable.com/effective-linkedin-ads-limited-budget/,https://impactable.com/blog/effective-linkedin-ads-limited-budget/,301,TRUE
https://impactable.com/all-you-need-to-know-about-linkedin-ads,https://impactable.com/blog/all-you-need-to-know-about-linkedin-ads/,301,TRUE
https://impactable.com/all-you-need-to-know-about-linkedin-ads/,https://impactable.com/blog/all-you-need-to-know-about-linkedin-ads/,301,TRUE
https://impactable.com/how-to-leverage-linkedin-retargeting-to-boost-google-ads-roi,https://impactable.com/blog/how-to-leverage-linkedin-retargeting-to-boost-google-ads-roi/,301,TRUE
https://impactable.com/how-to-leverage-linkedin-retargeting-to-boost-google-ads-roi/,https://impactable.com/blog/how-to-leverage-linkedin-retargeting-to-boost-google-ads-roi/,301,TRUE
https://impactable.com/b2b-video-marketing,https://impactable.com/blog/b2b-video-marketing/,301,TRUE
https://impactable.com/b2b-video-marketing/,https://impactable.com/blog/b2b-video-marketing/,301,TRUE
https://impactable.com/7-tips-to-jump-start-your-linkedin-lead-generation-strategy,https://impactable.com/blog/7-tips-to-jump-start-your-linkedin-lead-generation-strategy/,301,TRUE
https://impactable.com/7-tips-to-jump-start-your-linkedin-lead-generation-strategy/,https://impactable.com/blog/7-tips-to-jump-start-your-linkedin-lead-generation-strategy/,301,TRUE
https://impactable.com/demand-generation-linkedin-ads,https://impactable.com/blog/demand-generation-linkedin-ads/,301,TRUE
https://impactable.com/demand-generation-linkedin-ads/,https://impactable.com/blog/demand-generation-linkedin-ads/,301,TRUE
https://impactable.com/grow-linkedin-company-page-followers,https://impactable.com/blog/grow-linkedin-company-page-followers/,301,TRUE
https://impactable.com/grow-linkedin-company-page-followers/,https://impactable.com/blog/grow-linkedin-company-page-followers/,301,TRUE
https://impactable.com/linkedin-follower-ads,https://impactable.com/blog/linkedin-follower-ads/,301,TRUE
https://impactable.com/linkedin-follower-ads/,https://impactable.com/blog/linkedin-follower-ads/,301,TRUE
https://impactable.com/complete-linkedin-advertising-guide,https://impactable.com/blog/complete-linkedin-advertising-guide/,301,TRUE
